競馬場	開催年	開催日	レース番号	芝ダ区分	距離	馬番	馬名	単勝オッズ	人気順	確定着順	予測順位	予測スコア	複勝1着馬番	複勝1着オッズ	複勝1着人気	複勝2着馬番	複勝2着オッズ	複勝2着人気	複勝3着馬番	複勝3着オッズ	複勝3着人気	馬連馬番1	馬連馬番2	馬連オッズ	ワイド1_2馬番1	ワイド1_2馬番2	ワイド2_3着馬番1	ワイド2_3着馬番2	ワイド1_3着馬番1	ワイド1_3着馬番2	ワイド1_2オッズ	ワイド2_3オッズ	ワイド1_3オッズ	馬単馬番1	馬単馬番2	馬単オッズ	３連複オッズ
東京	2024	127	11	芝	2000	01	ロードデルレイ　　　　　　　　　　　	1.4	1	1	1	0.5483372386889384	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	11	芝	2000	02	シュヴァリエローズ　　　　　　　　　	47.6	6	9	6	0.47744323991623044	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	11	芝	2000	03	カレンシュトラウス　　　　　　　　　	98.3	10	10	8	0.4655569453006719	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	11	芝	2000	04	レインフロムヘヴン　　　　　　　　　	16.4	4	11	5	0.4797571333148	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	11	芝	2000	05	ブラックマジック　　　　　　　　　　	283.4	12	6	11	0.4330014299752844	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	11	芝	2000	06	バトルボーン　　　　　　　　　　　　	3.5	2	2	2	0.5281690203745969	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	11	芝	2000	07	グリューネグリーン　　　　　　　　　	53.2	7	5	7	0.4714504453378508	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	11	芝	2000	08	スパイダーゴールド　　　　　　　　　	32.7	5	4	10	0.452839647537312	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	11	芝	2000	09	フライライクバード　　　　　　　　　	64.3	9	3	4	0.4811724151550103	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	11	芝	2000	10	グランスラムアスク　　　　　　　　　	202.3	11	7	9	0.45654245038868896	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	11	芝	2000	11	パクスオトマニカ　　　　　　　　　　	55.4	8	12	12	0.42479137841144243	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	11	芝	2000	12	シルトホルン　　　　　　　　　　　　	10.3	3	8	3	0.4815378436006035	1	1.1	1	6	1.2	2	9.0	3.9	8.0	1	6	2.3	1	6	1	9	6	9	1.6	6.7	10.8	1	6	3.2	16.8
東京	2024	127	12	芝	1800	01	ロゴデザイン　　　　　　　　　　　　	392.5	16	14	15	0.4312563740310012	3	2.4	4	10	1.2	1	11.0	8.7	11.0	3	10	8.2	3	10	3	11	10	11	3.8	74.3	15.6	3	10	18.5	149.1
東京	2024	127	12	芝	1800	02	レシプロシティ　　　　　　　　　　　	16.5	6	4	9	0.4585516029233476	3	2.4	4	10	1.2	1	11.0	8.7	11.0	3	10	8.2	3	10	3	11	10	11	3.8	74.3	15.6	3	10	18.5	149.1
東京	2024	127	12	芝	1800	03	コスモシャングリラ　　　　　　　　　	6.3	3	1	1	0.5144192313699953	3	2.4	4	10	1.2	1	11.0	8.7	11.0	3	10	8.2	3	10	3	11	10	11	3.8	74.3	15.6	3	10	18.5	149.1
東京	2024	127	12	芝	1800	04	ハーエクセレンシー　　　　　　　　　	40.1	9	5	7	0.4693646765203332	3	2.4	4	10	1.2	1	11.0	8.7	11.0	3	10	8.2	3	10	3	11	10	11	3.8	74.3	15.6	3	10	18.5	149.1
東京	2024	127	12	芝	1800	05	ハリケーンリッジ　　　　　　　　　　	5.2	2	12	3	0.49561421016260715	3	2.4	4	10	1.2	1	11.0	8.7	11.0	3	10	8.2	3	10	3	11	10	11	3.8	74.3	15.6	3	10	18.5	149.1
